date,scraps,woodchips,compost,temp_1,temp_2,temp_3,temp_4,comments
10/9/2015,10,10,0,135.1,135.1,85.6,72.5,
10/12/2015,12,12,0,159.6,138.7,80.8,71.2,
10/13/2015,15,15,0,142.2,122.7,88.3,76.5,
10/14/2015,15,15,0,142.3,130,85.3,74.8,
10/15/2015,15,15,0,133.5,137.5,89.1,64.9,
10/16/2015,15,15,0,113.4,129.9,77,61.5,
10/19/2015,15,15,0,133,134.6,72,46.2,Cleaned filter
10/20/2015,20,20,0,143.6,135.5,75.9,58.8,
10/21/2015,15,15,0,138.2,137.1,84.4,69.4,
10/22/2015,0,0,0,134.1,137.1,83.9,72.1,Elevator didn't work
10/23/2015,15,15,0,131.9,138.9,79.7,68.7,
10/24/2015,5,5,0,135.1,140.5,69.8,59.9,Dumped full bag of finished compost in garden
10/26/2015,23,23,0,138,144.9,86.5,60.1,
10/27/2015,15,15,0,134.2,136.8,73.4,62.6,
10/28/2015,10,10,0,138.7,146.1,82.9,65.5,
10/29/2015,20,20,0,131.5,139.3,88.5,77.9,
10/30/2015,15,15,0,137.1,128.5,81.9,71.8,
11/2/2015,15,15,0,151.2,158.5,84,64,
11/3/2015,20,20,0,140.5,139.3,87.4,67.3,Dumped full bag of finished compost in garden
11/4/2015,15,15,0,133.7,136.4,90,71.4,
11/5/2015,20,20,0,126.5,148.7,91.6,78.4,
11/6/2015,15,15,0,132.6,143.4,96.6,87.8,
11/9/2015,20,20,0,134.1,143.1,83.6,67.5,
11/10/2015,15,15,0,140,140.1,85.5,67.5,
11/11/2015,12,12,0,135.3,145.4,95.2,69.3,
11/12/2015,15,15,0,135.7,140.4,91.6,72.3,
11/13/2015,15,15,0,133.2,139.3,87.6,70.9,
11/16/2015,15,15,0,125.2,155.5,92.1,69.1,
11/17/2015,15,0,15,135.7,141.3,79.2,61.9,
11/18/2015,15,0,15,136,151.9,85.1,64.9,
11/19/2015,15,0,15,141.4,146.1,92.5,76.8,
11/20/2015,20,0,20,131.7,143.1,96.8,75.6,
11/23/2015,20,0,15,127,153.1,86.9,86.7,
11/30/2015,20,20,0,135.3,132.8,74.1,51.6,
12/1/2015,15,15,0,140,139.6,82,56.8,
1/21/2016,15,15,0,95,170.1,120,95,"Blinking green light, section 1 may be frozen. High capacity function did not work because of the frozen jam."
1/22/2016,0,0,0,95,170.1,120,95,"Green blinking light, turned off Rocket"
2/4/2016,15,0,15,145.2,112.1,76.1,63.5,"High capacity function still not working, the normal functions are"
2/8/2016,10,0,10,135.1,128.7,70.3,50.4,
2/9/2016,10,0,10,95,120.1,120,95,
2/11/2016,15,15,0,139.3,131.2,64.8,41,
2/12/2016,10,10,0,123.4,143.6,70.2,37.2,
2/15/2016,15,15,0,88,81.3,43.3,29.7,
2/16/2016,10,10,0,93.6,82.2,49.8,38.8,
2/17/2016,20,20,0,189.5,82.7,49.5,39,
2/18/2016,20,20,0,60.1,120,80.1,60.1,
2/19/2016,25,20,0,128.3,97,50.4,40.5,
