date,scraps,compost
2015-10-09T04:00:00.000Z,10,108
2015-10-09T04:00:00.000Z,10,108
2015-10-12T04:00:00.000Z,12,0
2015-10-13T04:00:00.000Z,15,0
2015-10-14T04:00:00.000Z,15,0
2015-10-15T04:00:00.000Z,15,0
2015-10-16T04:00:00.000Z,15,0
2015-10-19T04:00:00.000Z,15,108
2015-10-20T04:00:00.000Z,20,0
2015-10-21T04:00:00.000Z,15,0
2015-10-22T04:00:00.000Z,0,0
2015-10-23T04:00:00.000Z,15,0
2015-10-24T04:00:00.000Z,5,0
2015-10-26T04:00:00.000Z,23,0
2015-10-27T04:00:00.000Z,15,0
2015-10-28T04:00:00.000Z,10,0
2015-10-29T04:00:00.000Z,20,108
2015-10-30T04:00:00.000Z,15,0
2015-11-02T05:00:00.000Z,15,0
2015-11-03T05:00:00.000Z,20,108
2015-11-04T05:00:00.000Z,15,0
2015-11-05T05:00:00.000Z,20,0
2015-11-06T05:00:00.000Z,15,0
2015-11-09T05:00:00.000Z,20,0
2015-11-10T05:00:00.000Z,15,0
2015-11-11T05:00:00.000Z,12,0
2015-11-12T05:00:00.000Z,15,0
2015-11-13T05:00:00.000Z,15,108
2015-11-16T05:00:00.000Z,15,0
2015-11-17T05:00:00.000Z,15,0
2015-11-18T05:00:00.000Z,15,0
2015-11-19T05:00:00.000Z,15,0
2015-11-20T05:00:00.000Z,20,0
2015-11-23T05:00:00.000Z,20,108
2015-11-30T05:00:00.000Z,20,0
2015-12-01T05:00:00.000Z,15,108
2016-01-21T05:00:00.000Z,15,0
2016-01-22T05:00:00.000Z,0,108
2016-02-04T05:00:00.000Z,15,15
2016-02-08T05:00:00.000Z,10,0
2016-02-09T05:00:00.000Z,10,108
2016-02-11T05:00:00.000Z,15,0
2016-02-12T05:00:00.000Z,10,0
2016-02-15T05:00:00.000Z,15,0
2016-02-16T05:00:00.000Z,10,0
2016-02-17T05:00:00.000Z,20,0
2016-02-18T05:00:00.000Z,20,0
2016-02-19T05:00:00.000Z,25,108
2016-04-11T04:00:00.000Z,15,108
2016-04-12T04:00:00.000Z,30,0
2016-04-13T04:00:00.000Z,15,0
2016-04-14T04:00:00.000Z,40,0
2016-04-15T04:00:00.000Z,15,0
2016-04-16T04:00:00.000Z,15,0
2016-04-18T04:00:00.000Z,15,0
2016-04-19T04:00:00.000Z,20,108
2016-04-20T04:00:00.000Z,20,108
2016-04-21T04:00:00.000Z,10,0
2016-04-22T04:00:00.000Z,10,0
2016-04-25T04:00:00.000Z,15,0
